start_ns,end_ns,pc,ir,op,cycles
11000,19000,0x00000001,0x00000000,         add,4
25000,33000,0x00000002,0x6a800043,         ldi,4
39000,47000,0x00000003,0x6aa80006,         ldi,4
57000,69000,0x00000004,0x72000089,          ld,6
71000,79000,0x00000005,0x6a200004,         ldi,4
89000,101000,0x00000006,0x7027fff8,          ld,6
103000,111000,0x00000007,0x69000004,         ldi,4
117000,125000,0x00000008,0x6a800087,         ldi,4
133000,143000,0x00000009,0x9a980003,        brmi,5
147000,155000,0x0000000a,0x6aa80005,         ldi,4
165000,177000,0x0000000b,0x70a7fffd,          ld,6
173000,175000,0x0000000c,0xf0000000,         nop,1
189000,199000,0x0000000f,0xa0900002,        brpl,5
203000,211000,0x00000010,0x03a90000,         add,4
217000,225000,0x00000011,0x80880003,        addi,4
231000,239000,0x00000012,0x48880000,         neg,4
245000,253000,0x00000013,0x50880000,         not,4
259000,267000,0x00000014,0x8888000f,        andi,4
273000,281000,0x00000015,0x3a010000,         ror,4
287000,295000,0x00000016,0x90a00005,         ori,4
301000,309000,0x00000017,0x2a090000,        shra,4
315000,323000,0x00000018,0x22a90000,         shr,4
333000,345000,0x00000019,0x7a8000a3,          st,6
347000,355000,0x0000001a,0x42810000,         rol,4
361000,369000,0x0000001b,0x1b900000,          or,4
375000,383000,0x0000001c,0x12280000,         and,4
393000,405000,0x0000001d,0x7ba00089,          st,6
407000,415000,0x0000001e,0x082b8000,         sub,4
421000,429000,0x0000001f,0x32290000,         shl,4
435000,443000,0x00000020,0x6b800007,         ldi,4
449000,457000,0x00000021,0x69800019,         ldi,4
465000,475000,0x00000022,0x59b80000,         mul,5
475000,479000,0x00000023,0xa8800000,        mfhi,2
485000,489000,0x00000024,0xb3000000,        mflo,2
501000,511000,0x00000025,0x61b80000,         div,5
515000,523000,0x00000026,0x6c380002,         ldi,4
529000,537000,0x00000027,0x6c9ffffc,         ldi,4
543000,551000,0x00000028,0x6d300003,         ldi,4
557000,565000,0x00000029,0x6d880005,         ldi,4
569000,575000,0x000000b3,0xbe500000,         jal,3
583000,591000,0x000000b4,0x0f450000,         sub,4
597000,605000,0x000000b5,0x0ecd8000,         sub,4
611000,619000,0x000000b6,0x07768000,         add,4
621000,625000,0x0000002a,0xc6000000,          jr,2
633000,639000,0x0000002b,0xcb000000,          in,3
651000,663000,0x0000002c,0x7b000077,          st,6
