start_ns,end_ns,pc,ir,op,cycles
633000,639000,0x0000002b,0xcb000000,          in,3
621000,625000,0x0000002a,0xc6000000,          jr,2
57000,69000,0x00000004,0x72000089,          ld,6
361000,369000,0x0000001b,0x1b900000,          or,4
333000,345000,0x00000019,0x7a8000a3,          st,6
11000,19000,0x00000001,0x00000000,         add,4
375000,383000,0x0000001c,0x12280000,         and,4
501000,511000,0x00000025,0x61b80000,         div,5
569000,575000,0x000000b3,0xbe500000,         jal,3
25000,33000,0x00000002,0x6a800043,         ldi,4
465000,475000,0x00000022,0x59b80000,         mul,5
231000,239000,0x00000012,0x48880000,         neg,4
173000,175000,0x0000000c,0xf0000000,         nop,1
245000,253000,0x00000013,0x50880000,         not,4
287000,295000,0x00000016,0x90a00005,         ori,4
703000,707000,0x00000030,0xd3000000,         out,2
347000,355000,0x0000001a,0x42810000,         rol,4
273000,281000,0x00000015,0x3a010000,         ror,4
421000,429000,0x0000001f,0x32290000,         shl,4
315000,323000,0x00000018,0x22a90000,         shr,4
407000,415000,0x0000001e,0x082b8000,         sub,4
217000,225000,0x00000011,0x80880003,        addi,4
259000,267000,0x00000014,0x8888000f,        andi,4
133000,143000,0x00000009,0x9a980003,        brmi,5
189000,199000,0x0000000f,0xa0900002,        brpl,5
475000,479000,0x00000023,0xa8800000,        mfhi,2
485000,489000,0x00000024,0xb3000000,        mflo,2
301000,309000,0x00000017,0x2a090000,        shra,4
