start_ns,end_ns,pc,ir,op,cycles
11000,19000,0x00000001,0x00000000,         add,4
25000,33000,0x00000002,0x8a800043,         ldi,4
39000,47000,0x00000003,0x8aa80006,         ldi,4
57000,69000,0x00000004,0x82000089,          ld,6
71000,79000,0x00000005,0x8a200004,         ldi,4
89000,101000,0x00000006,0x8027fff8,          ld,6
103000,111000,0x00000007,0x89000004,         ldi,4
117000,125000,0x00000008,0x8a800087,         ldi,4
133000,143000,0x00000009,0xaa980003,        brmi,5
147000,155000,0x0000000a,0x8aa80005,         ldi,4
165000,177000,0x0000000b,0x80affffd,          ld,6
173000,175000,0x0000000c,0xd0000000,         nop,1
189000,199000,0x0000000f,0xa8900002,        brpl,5
203000,211000,0x00000010,0x03a90000,         add,4
217000,225000,0x00000011,0x48880003,        addi,4
231000,239000,0x00000012,0x70880000,         neg,4
245000,253000,0x00000013,0x78880000,         not,4
259000,267000,0x00000014,0x5088000f,        andi,4
273000,281000,0x00000015,0x3a010000,         ror,4
287000,295000,0x00000016,0x58a00005,         ori,4
301000,309000,0x00000017,0x2a090000,        shra,4
315000,323000,0x00000018,0x22a90000,         shr,4
333000,345000,0x00000019,0x928000a3,          st,6
347000,355000,0x0000001a,0x42810000,         rol,4
361000,369000,0x0000001b,0x1b900000,          or,4
375000,383000,0x0000001c,0x12280000,         and,4
393000,405000,0x0000001d,0x93a00089,          st,6
407000,415000,0x0000001e,0x082b8000,         sub,4
421000,429000,0x0000001f,0x32290000,         shl,4
435000,443000,0x00000020,0x8b800007,         ldi,4
449000,457000,0x00000021,0x89800019,         ldi,4
465000,475000,0x00000022,0x69b80000,         mul,5
475000,479000,0x00000023,0xc0800000,        mfhi,2
485000,489000,0x00000024,0xcb000000,        mflo,2
501000,511000,0x00000025,0x61b80000,         div,5
515000,523000,0x00000026,0x8c380002,         ldi,4
529000,537000,0x00000027,0x8c9ffffc,         ldi,4
543000,551000,0x00000028,0x8d300003,         ldi,4
557000,565000,0x00000029,0x8d880005,         ldi,4
569000,575000,0x000000b3,0x9d000000,         jal,3
583000,591000,0x000000b4,0x07450000,         add,4
597000,605000,0x000000b5,0x0ecd8000,         sub,4
611000,619000,0x000000b6,0x0f768000,         sub,4
621000,625000,0x0000002a,0xa6000000,          jr,2
633000,639000,0x0000002b,0xb3000000,          in,3
651000,663000,0x0000002c,0x93000077,          st,6
665000,673000,0x0000002d,0x8980002e,         ldi,4
679000,687000,0x0000002e,0x8a800001,         ldi,4
693000,701000,0x0000002f,0x89000002,         ldi,4
703000,707000,0x00000030,0xbb000000,         out,2
717000,725000,0x00000031,0x8917ffff,         ldi,4
733000,743000,0x00000032,0xa9000008,        brzr,5
751000,763000,0x00000033,0x83800088,          ld,6
765000,773000,0x00000034,0x8bbfffff,         ldi,4
773000,775000,0x00000035,0xd0000000,         nop,1
789000,799000,0x00000033,0xab8ffffd,        brnz,5
803000,811000,0x00000034,0x8bbfffff,         ldi,4
811000,813000,0x00000035,0xd0000000,         nop,1
827000,837000,0x00000033,0xab8ffffd,        brnz,5
841000,849000,0x00000034,0x8bbfffff,         ldi,4
849000,851000,0x00000035,0xd0000000,         nop,1
865000,875000,0x00000033,0xab8ffffd,        brnz,5
879000,887000,0x00000034,0x8bbfffff,         ldi,4
887000,889000,0x00000035,0xd0000000,         nop,1
903000,913000,0x00000033,0xab8ffffd,        brnz,5
917000,925000,0x00000034,0x8bbfffff,         ldi,4
925000,927000,0x00000035,0xd0000000,         nop,1
941000,951000,0x00000033,0xab8ffffd,        brnz,5
955000,963000,0x00000034,0x8bbfffff,         ldi,4
963000,965000,0x00000035,0xd0000000,         nop,1
979000,989000,0x00000033,0xab8ffffd,        brnz,5
993000,1001000,0x00000034,0x8bbfffff,         ldi,4
1001000,1003000,0x00000035,0xd0000000,         nop,1
1017000,1027000,0x00000033,0xab8ffffd,        brnz,5
1031000,1039000,0x00000034,0x8bbfffff,         ldi,4
1039000,1041000,0x00000035,0xd0000000,         nop,1
1055000,1065000,0x00000033,0xab8ffffd,        brnz,5
1069000,1077000,0x00000034,0x8bbfffff,         ldi,4
1077000,1079000,0x00000035,0xd0000000,         nop,1
1093000,1103000,0x00000033,0xab8ffffd,        brnz,5
1107000,1115000,0x00000034,0x8bbfffff,         ldi,4
1115000,1117000,0x00000035,0xd0000000,         nop,1
1131000,1141000,0x00000036,0xab8ffffd,        brnz,5
1145000,1153000,0x00000037,0x23328000,         shr,4
1161000,1171000,0x0000002f,0xab0ffff7,        brnz,5
1171000,1175000,0x00000030,0xbb000000,         out,2
1185000,1193000,0x00000031,0x8917ffff,         ldi,4
1201000,1211000,0x0000003a,0xa9000008,        brzr,5
1215000,1223000,0x0000003b,0x8b000063,         ldi,4
1225000,1229000,0x0000003c,0xbb000000,         out,2
