start_ns,end_ns,pc,ir,op,cycles
11000,19000,0x00000001,0x00000000,add,4
217000,225000,0x00000011,0x48880003,addi,4
375000,383000,0x0000001c,0x12280000,and,4
259000,267000,0x00000014,0x5088000f,andi,4
133000,143000,0x00000009,0xaa980003,brmi,5
789000,799000,0x00000033,0xab8ffffd,brnz,5
189000,199000,0x0000000f,0xa8900002,brpl,5
733000,743000,0x00000032,0xa9000008,brzr,5
501000,511000,0x00000025,0x61b80000,div,5
633000,639000,0x0000002b,0xb3000000,in,3
569000,575000,0x000000b3,0x9d000000,jal,3
621000,625000,0x0000002a,0xa6000000,jr,2
57000,69000,0x00000004,0x82000089,ld,6
25000,33000,0x00000002,0x8a800043,ldi,4
475000,479000,0x00000023,0xc0800000,mfhi,2
485000,489000,0x00000024,0xcb000000,mflo,2
465000,475000,0x00000022,0x69b80000,mul,5
231000,239000,0x00000012,0x70880000,neg,4
173000,175000,0x0000000c,0xd0000000,nop,1
245000,253000,0x00000013,0x78880000,not,4
361000,369000,0x0000001b,0x1b900000,or,4
287000,295000,0x00000016,0x58a00005,ori,4
703000,707000,0x00000030,0xbb000000,out,2
347000,355000,0x0000001a,0x42810000,rol,4
273000,281000,0x00000015,0x3a010000,ror,4
421000,429000,0x0000001f,0x32290000,shl,4
315000,323000,0x00000018,0x22a90000,shr,4
301000,309000,0x00000017,0x2a090000,shra,4
333000,345000,0x00000019,0x928000a3,st,6
407000,415000,0x0000001e,0x082b8000,sub,4
