start_ns,end_ns,pc,ir,op,cycles
6330,6390,0x0000002b,0xcb000000,in,3
6210,6250,0x0000002a,0xc6000000,jr,2
570,690,0x00000004,0x72000089,ld,6
3610,3690,0x0000001b,0x1b900000,or,4
3330,3450,0x00000019,0x7a8000a3,st,6
110,190,0x00000001,0x00000000,add,4
3750,3830,0x0000001c,0x12280000,and,4
5010,5110,0x00000025,0x61b80000,div,5
5690,5750,0x000000b3,0xbe500000,jal,3
250,330,0x00000002,0x6a800043,ldi,4
4650,4750,0x00000022,0x59b80000,mul,5
2310,2390,0x00000012,0x48880000,neg,4
1730,1750,0x0000000c,0xf0000000,nop,1
2450,2530,0x00000013,0x50880000,not,4
2870,2950,0x00000016,0x90a00005,ori,4
7030,7070,0x00000030,0xd3000000,out,2
3470,3550,0x0000001a,0x42810000,rol,4
2730,2810,0x00000015,0x3a010000,ror,4
4210,4290,0x0000001f,0x32290000,shl,4
3150,3230,0x00000018,0x22a90000,shr,4
4070,4150,0x0000001e,0x082b8000,sub,4
2170,2250,0x00000011,0x80880003,addi,4
2590,2670,0x00000014,0x8888000f,andi,4
1330,1430,0x00000009,0x9a980003,brmi,5
1890,1990,0x0000000f,0xa0900002,brpl,5
4750,4790,0x00000023,0xa8800000,mfhi,2
4850,4890,0x00000024,0xb3000000,mflo,2
3010,3090,0x00000017,0x2a090000,shra,4
