start_us,end_us,pc,ir,op
0.010000us,0.110000us,0x00000000,0x00000000,add
2.030000us,2.170000us,0x00000010,0x48880003,addi
3.610000us,3.750000us,0x0000001B,0x12280000,and
2.450000us,2.590000us,0x00000013,0x5088000F,andi
1.170000us,1.330000us,0x00000008,0xAA980003,br
4.850000us,5.010000us,0x00000024,0x61B80000,div
6.210000us,6.330000us,0x0000002A,0xB3000000,in
5.570000us,5.690000us,0x00000029,0x9D000000,jal
6.110000us,6.210000us,0x000000B6,0xA6000000,jr
0.390000us,0.570000us,0x00000003,0x82000089,ld
0.110000us,0.250000us,0x00000001,0x8A800043,ldi
4.650000us,4.750000us,0x00000022,0xC0800000,mfhi
4.750000us,4.850000us,0x00000023,0xCB000000,mflo
4.490000us,4.650000us,0x00000021,0x69B80000,mul
2.170000us,2.310000us,0x00000011,0x70880000,neg
1.650000us,1.730000us,0x0000000B,0xD0000000,nop
2.310000us,2.450000us,0x00000012,0x78880000,not
3.470000us,3.610000us,0x0000001A,0x1B900000,or
2.730000us,2.870000us,0x00000015,0x58A00005,ori
6.930000us,7.030000us,0x0000002F,0xBB000000,out
3.330000us,3.470000us,0x00000019,0x42810000,rol
2.590000us,2.730000us,0x00000014,0x3A010000,ror
4.070000us,4.210000us,0x0000001E,0x32290000,shl
3.010000us,3.150000us,0x00000017,0x22A90000,shr
2.870000us,3.010000us,0x00000016,0x2A090000,shra
3.150000us,3.330000us,0x00000018,0x928000A3,st
3.930000us,4.070000us,0x0000001D,0x082B8000,sub
