index,time,IR,PC
1,557000,0xBE500000,0x00000029
2,621000,0xCB000000,0x0000002A
3,633000,0x7B000077,0x0000002B
4,651000,0x6980002E,0x0000002C
5,665000,0x6A800001,0x0000002D
6,679000,0x69000028,0x0000002E
7,693000,0xD3000000,0x0000002F
8,703000,0x6917FFFF,0x00000030
9,717000,0x99000008,0x00000031
10,733000,0x73800088,0x00000032
11,751000,0x6BBFFFFF,0x00000033
12,765000,0xF0000000,0x00000034
13,773000,0x9B8FFFFD,0x00000035
14,789000,0x6BBFFFFF,0x00000033
15,803000,0xF0000000,0x00000034
16,811000,0x9B8FFFFD,0x00000035
17,827000,0x6BBFFFFF,0x00000033
18,841000,0xF0000000,0x00000034
19,849000,0x9B8FFFFD,0x00000035
20,865000,0x6BBFFFFF,0x00000033
21,879000,0xF0000000,0x00000034
22,887000,0x9B8FFFFD,0x00000035
23,903000,0x6BBFFFFF,0x00000033
24,917000,0xF0000000,0x00000034
25,925000,0x9B8FFFFD,0x00000035
26,941000,0x6BBFFFFF,0x00000033
27,955000,0xF0000000,0x00000034
28,963000,0x9B8FFFFD,0x00000035
29,979000,0x6BBFFFFF,0x00000033
30,993000,0xF0000000,0x00000034
31,1001000,0x9B8FFFFD,0x00000035
32,1017000,0x6BBFFFFF,0x00000033
33,1031000,0xF0000000,0x00000034
34,1039000,0x9B8FFFFD,0x00000035
35,1055000,0x6BBFFFFF,0x00000033
36,1069000,0xF0000000,0x00000034
37,1077000,0x9B8FFFFD,0x00000035
38,1093000,0x6BBFFFFF,0x00000033
39,1107000,0xF0000000,0x00000034
40,1115000,0x9B8FFFFD,0x00000035
41,1131000,0x6BBFFFFF,0x00000033
42,1145000,0xF0000000,0x00000034
43,1153000,0x9B8FFFFD,0x00000035
44,1169000,0x6BBFFFFF,0x00000033
45,1183000,0xF0000000,0x00000034
46,1191000,0x9B8FFFFD,0x00000035
47,1207000,0x6BBFFFFF,0x00000033
48,1221000,0xF0000000,0x00000034
49,1229000,0x9B8FFFFD,0x00000035
50,1245000,0x6BBFFFFF,0x00000033
51,1259000,0xF0000000,0x00000034
52,1267000,0x9B8FFFFD,0x00000035
53,1283000,0x6BBFFFFF,0x00000033
54,1297000,0xF0000000,0x00000034
55,1305000,0x9B8FFFFD,0x00000035
56,1321000,0x6BBFFFFF,0x00000033
57,1335000,0xF0000000,0x00000034
58,1343000,0x9B8FFFFD,0x00000035
59,1359000,0x6BBFFFFF,0x00000033
60,1373000,0xF0000000,0x00000034
